ID,Label,Name,SW_Pred,HW_Pred,HW_eq_SW,HW_eq_GT,SW_Conf,HW_Conf,Top5_HW,MAE,KL,Cos,HW_Sum,Valid,Total_Cyc,P1_Cyc,P2_Cyc,Stall_Cyc,Compute_Cyc,IP_us
0,49,mountain,68,68,1,0,0.769593,0.770172,68:0.770172;12:0.015015;90:0.012360;79:0.012146;46:0.011902,0.000017,0.000131,1.000000,0.999878,True,165370,83866,81490,0,71,496.6066
1,33,forest,33,33,1,1,0.721776,0.722260,33:0.722260;37:0.030975;96:0.029663;84:0.020081;59:0.015503,0.000017,-0.000019,1.000000,1.000031,True,205320,81436,123870,0,71,616.5766
2,72,seal,55,55,1,0,0.314974,0.314758,55:0.314758;72:0.133392;30:0.118744;4:0.095367;27:0.067963,0.000019,0.000876,1.000000,0.999146,True,163883,82307,81562,0,71,492.1411
3,51,mushroom,51,51,1,1,0.827375,0.828094,51:0.828094;77:0.013306;44:0.011688;80:0.008148;78:0.006989,0.000018,-0.000080,1.000000,1.000092,True,164051,82256,81781,0,71,492.6456
4,71,sea,71,71,1,1,0.799448,0.800110,71:0.800110;23:0.092957;60:0.060120;49:0.002655;69:0.001892,0.000022,0.000006,1.000000,1.000031,True,162653,81300,81339,0,71,488.4474
5,92,tulip,6,6,1,0,0.454035,0.453857,6:0.453857;54:0.090363;7:0.068207;79:0.064941;82:0.038513,0.000019,0.000773,1.000000,0.999237,True,164970,83105,81851,0,71,495.4054
6,15,camel,27,27,1,0,0.153842,0.153687,27:0.153687;38:0.147186;15:0.113800;55:0.049011;80:0.047455,0.000017,0.001200,1.000000,0.998810,True,164478,82346,82118,0,71,493.9279
7,14,butterfly,7,7,1,0,0.161323,0.161133,7:0.161133;74:0.129395;14:0.102509;50:0.042053;44:0.039612,0.000015,0.001138,1.000000,0.998871,True,161996,81029,80953,0,71,486.4745
8,23,cloud,71,71,1,0,0.524215,0.524109,71:0.524109;23:0.296021;60:0.090912;49:0.008850;69:0.004456,0.000017,0.000011,1.000000,1.000000,True,163145,81911,81220,0,71,489.9249
9,0,apple,53,53,1,0,0.420332,0.420227,53:0.420227;0:0.166443;57:0.047638;83:0.011993;52:0.009857,0.000015,0.000706,1.000000,0.999298,True,210951,82528,128409,0,71,633.4865
10,71,sea,76,76,1,0,0.332794,0.332672,76:0.332672;12:0.131775;95:0.086823;56:0.065887;59:0.041809,0.000015,0.000770,1.000000,0.999237,True,164862,82110,82738,0,71,495.0811
11,75,skunk,75,75,1,1,0.852368,0.853210,75:0.853210;77:0.006500;51:0.006134;99:0.005493;91:0.005066,0.000021,0.000170,1.000000,0.999847,True,165038,82179,82845,0,71,495.6096
12,81,streetcar,81,81,1,1,0.636474,0.636627,81:0.636627;90:0.183716;37:0.018860;13:0.014099;68:0.011292,0.000016,0.000038,1.000000,0.999969,True,165480,82267,83199,0,71,496.9369
13,69,rocket,69,69,1,1,0.867054,0.868073,69:0.868073;76:0.024261;17:0.007080;79:0.005798;23:0.004456,0.000024,0.000056,1.000000,0.999969,True,163632,81943,81675,0,71,491.3874
14,40,lamp,40,40,1,1,0.948385,0.919586,40:0.919586;28:0.028564;84:0.007385;51:0.006622;9:0.002258,0.000579,0.006219,0.999916,1.000275,True,164805,82361,82430,0,71,494.9099
15,43,lion,43,43,1,1,0.971372,0.950745,43:0.950745;88:0.003937;34:0.002777;3:0.002747;15:0.002441,0.000415,0.005452,0.999993,1.000244,True,165186,81962,83210,0,71,496.0541
16,92,tulip,92,92,1,1,0.984753,0.912567,92:0.912567;70:0.018372;62:0.011444;54:0.009216;83:0.008118,0.001445,0.048322,0.999716,1.000153,True,165294,82671,82609,0,71,496.3784
17,97,wolf,97,97,1,1,0.775123,0.775726,97:0.775726;64:0.025604;31:0.017853;66:0.012512;50:0.011871,0.000018,-0.000142,1.000000,1.000153,True,165526,83347,82165,0,71,497.0751
18,70,rose,70,70,1,1,0.944416,0.945679,70:0.945679;92:0.004150;62:0.003204;21:0.002716;54:0.002411,0.000026,-0.000156,1.000000,1.000214,True,182422,99362,83046,0,71,547.8138
19,53,orange,53,53,1,1,0.896692,0.897736,53:0.897736;62:0.007385;8:0.004242;61:0.004150;83:0.003906,0.000023,0.000004,1.000000,1.000031,True,162447,80951,81482,0,71,487.8288
20,70,rose,70,70,1,1,0.960697,0.937164,70:0.937164;47:0.007935;26:0.006500;62:0.006348;92:0.003876,0.000472,0.005366,0.999980,1.000092,True,166493,83441,83038,0,71,499.9790
21,49,mountain,49,49,1,1,0.767571,0.768188,49:0.768188;27:0.025391;95:0.014618;48:0.012878;23:0.011871,0.000018,-0.000019,1.000000,1.000031,True,164939,82352,82573,0,71,495.3123
22,75,skunk,75,75,1,1,0.327818,0.327637,75:0.327637;29:0.036346;55:0.024200;21:0.023743;31:0.023193,0.000013,0.000796,1.000000,0.999207,True,164311,81702,82595,0,71,493.4264
23,29,dinosaur,12,12,1,0,0.158286,0.158081,12:0.158081;17:0.153870;37:0.076080;85:0.066986;96:0.045227,0.000018,0.001197,0.999999,0.998810,True,166035,82196,83825,0,71,498.6036
24,21,chimpanzee,21,21,1,1,0.980640,0.953430,21:0.953430;3:0.005127;90:0.002808;46:0.002533;31:0.002502,0.000545,0.010582,0.999986,1.000092,True,183298,81826,101458,0,71,550.4444
25,16,can,16,16,1,1,0.991413,0.928436,16:0.928436;9:0.010925;28:0.009766;10:0.007660;94:0.003754,0.001259,0.046876,0.999846,0.999939,True,162056,81293,80749,0,71,486.6547
26,39,keyboard,39,39,1,1,0.924163,0.925262,39:0.925262;25:0.003510;23:0.003265;13:0.002655;33:0.002014,0.000025,0.000058,1.000000,0.999969,True,182134,81717,100403,0,71,546.9489
27,8,bicycle,8,8,1,1,0.954550,0.955811,8:0.955811;48:0.002808;38:0.002228;61:0.001953;99:0.001831,0.000025,-0.000208,1.000000,1.000244,True,166568,84299,82255,0,71,500.2042
28,8,bicycle,8,8,1,1,0.853324,0.854156,8:0.854156;79:0.014160;48:0.013977;22:0.010071;16:0.008606,0.000021,0.000019,1.000000,1.000000,True,165487,82286,83187,0,71,496.9580
29,70,rose,28,28,1,0,0.080562,0.080444,28:0.080444;98:0.073578;11:0.053436;40:0.053009;35:0.046814,0.000016,0.001285,0.999999,0.998718,True,188556,92702,95840,0,71,566.2342
30,20,chair,20,20,1,1,0.934536,0.935577,20:0.935577;84:0.004639;5:0.004211;25:0.003815;47:0.003204,0.000023,0.000015,1.000000,1.000031,True,163022,81751,81257,0,71,489.5556
31,61,plate,61,61,1,1,0.689617,0.689880,61:0.689880;10:0.113037;22:0.023376;16:0.015656;99:0.014709,0.000015,0.000007,1.000000,1.000000,True,183113,81884,101215,0,71,549.8889
32,41,lawn_mower,41,41,1,1,0.937193,0.938446,41:0.938446;86:0.004272;89:0.003937;69:0.003418;48:0.002960,0.000027,-0.000081,1.000000,1.000122,True,163772,83017,80741,0,71,491.8078
33,93,turtle,73,73,1,0,0.290972,0.290833,73:0.290833;67:0.232941;93:0.066315;30:0.027954;32:0.024200,0.000013,0.000829,1.000000,0.999176,True,181789,98377,83398,0,71,545.9129
34,56,palm_tree,56,56,1,1,0.638476,0.638885,56:0.638885;96:0.142548;59:0.045959;47:0.034119;52:0.018494,0.000017,-0.000050,1.000000,1.000061,True,163614,82076,81524,0,71,491.3333
35,73,shark,91,91,1,0,0.119260,0.119080,91:0.119080;44:0.075958;73:0.072540;38:0.067444;74:0.064575,0.000017,0.001259,0.999999,0.998749,True,164148,82230,81904,0,71,492.9369
36,58,pickup_truck,58,58,1,1,0.596541,0.596741,58:0.596741;41:0.076019;13:0.021973;89:0.013916;20:0.009369,0.000013,-0.000027,1.000000,1.000031,True,162360,81509,80837,0,69,487.5676
37,11,boy,35,35,1,0,0.367700,0.367584,35:0.367584;11:0.221558;2:0.158356;98:0.033264;46:0.013184,0.000015,0.000677,1.000000,0.999329,True,161969,81706,80249,0,71,486.3934
38,25,couch,25,25,1,1,0.857395,0.858246,25:0.858246;5:0.046082;20:0.013794;17:0.003784;55:0.003571,0.000020,-0.000192,1.000000,1.000214,True,164218,82241,81963,0,71,493.1471
39,37,house,37,37,1,1,0.783163,0.783875,37:0.783875;81:0.080200;17:0.022278;13:0.008820;90:0.007050,0.000021,0.000080,1.000000,0.999939,True,165386,82832,82540,0,71,496.6547
40,63,porcupine,63,63,1,1,0.720734,0.721130,63:0.721130;64:0.032806;74:0.030426;66:0.026642;4:0.017242,0.000018,0.000073,1.000000,0.999939,True,163592,81891,81687,0,71,491.2673
41,24,cockroach,24,24,1,1,0.345499,0.345337,24:0.345337;7:0.061371;18:0.043274;76:0.036682;79:0.032288,0.000015,0.000828,1.000000,0.999176,True,163325,82285,81026,0,71,490.4655
42,49,mountain,49,49,1,1,0.172771,0.172607,49:0.172607;39:0.092590;67:0.057037;95:0.056854;5:0.034088,0.000015,0.001011,1.000000,0.998993,True,181886,97062,84810,0,71,546.2042
43,73,shark,30,30,1,0,0.741792,0.742371,30:0.742371;95:0.083252;73:0.052826;67:0.009979;72:0.008331,0.000019,0.000020,1.000000,1.000000,True,162797,82714,80069,0,71,488.8799
44,56,palm_tree,56,56,1,1,0.990297,0.955231,56:0.955231;59:0.007141;47:0.001526;22:0.001404;52:0.001343,0.000705,0.020872,0.999973,1.000336,True,163028,81464,81550,0,71,489.5736
45,22,clock,22,22,1,1,0.767365,0.768005,22:0.768005;61:0.058472;10:0.014587;43:0.007233;16:0.006409,0.000018,0.000009,1.000000,1.000000,True,165258,83639,81605,0,71,496.2703
46,41,lawn_mower,41,41,1,1,0.815451,0.816254,41:0.816254;89:0.094818;48:0.022949;58:0.007355;83:0.005157,0.000024,0.000029,1.000000,1.000031,True,163226,81447,81765,0,71,490.1682
47,58,pickup_truck,58,58,1,1,0.724409,0.724976,58:0.724976;13:0.037994;41:0.016266;89:0.010010;5:0.007782,0.000015,-0.000057,1.000000,1.000061,True,163855,82717,81124,0,71,492.0571
48,75,skunk,92,92,1,0,0.074076,0.073975,92:0.073975;21:0.057190;14:0.050903;97:0.049805;51:0.041443,0.000016,0.001377,0.999999,0.998627,True,162570,81281,81275,0,71,488.1982
49,17,castle,17,17,1,1,0.096099,0.095978,17:0.095978;57:0.090668;76:0.087311;89:0.071838;49:0.041809,0.000017,0.001438,1.000000,0.998566,True,163359,82375,80970,0,71,490.5676
50,4,beaver,4,4,1,1,0.594106,0.594269,4:0.594269;55:0.053802;98:0.042877;43:0.035278;35:0.028412,0.000015,0.000010,1.000000,1.000000,True,163960,82251,81695,0,71,492.3724
51,6,bee,6,6,1,1,0.880031,0.881012,6:0.881012;45:0.019257;88:0.011414;89:0.004822;79:0.004791,0.000022,-0.000030,1.000000,1.000061,True,185048,82897,102137,0,71,555.6997
52,9,bottle,9,9,1,1,0.984979,0.956543,9:0.956543;16:0.003021;33:0.002594;80:0.002258;81:0.002075,0.000571,0.012838,0.999988,1.000214,True,164099,81954,82131,0,71,492.7898
53,57,pear,57,57,1,1,0.943583,0.944702,57:0.944702;9:0.006897;14:0.003601;40:0.002533;0:0.002350,0.000024,-0.000110,1.000000,1.000153,True,163964,81791,82159,0,71,492.3844
54,2,baby,2,2,1,1,0.737570,0.737976,2:0.737976;35:0.085968;11:0.078613;36:0.019653;98:0.008972,0.000022,0.000136,1.000000,0.999908,True,162871,81310,81547,0,69,489.1021
55,32,flatfish,32,32,1,1,0.771339,0.771912,32:0.771912;46:0.042603;11:0.024109;35:0.009979;2:0.009857,0.000018,-0.000134,1.000000,1.000153,True,162953,81805,81134,0,71,489.3483
56,71,sea,71,71,1,1,0.868765,0.869751,71:0.869751;60:0.018158;23:0.016235;49:0.014404;95:0.007812,0.000024,0.000064,1.000000,0.999969,True,162799,81427,81358,0,71,488.8859
57,52,oak_tree,52,52,1,1,0.754241,0.754944,52:0.754944;47:0.141266;96:0.032806;59:0.018951;60:0.001587,0.000021,-0.000163,1.000000,1.000183,True,182660,97504,85142,0,71,548.5285
58,42,leopard,42,42,1,1,0.935989,0.937134,42:0.937134;88:0.019257;97:0.006256;43:0.003418;28:0.002594,0.000027,0.000078,1.000000,1.000000,True,163500,82318,81168,0,71,490.9910
59,69,rocket,69,69,1,1,0.654867,0.655029,69:0.655029;95:0.075897;30:0.047882;99:0.022858;44:0.012390,0.000015,0.000009,1.000000,1.000000,True,164844,82836,81994,0,71,495.0270
60,77,snail,99,99,1,0,0.420803,0.420593,99:0.420593;77:0.289459;78:0.093567;18:0.018463;80:0.012787,0.000021,0.000842,1.000000,0.999176,True,164583,83039,81530,0,71,494.2432
61,27,crocodile,32,32,1,0,0.203294,0.203094,32:0.203094;67:0.129211;91:0.085846;27:0.082428;23:0.043518,0.000018,0.001168,1.000000,0.998840,True,163689,81819,81856,0,71,491.5586
62,15,camel,31,31,1,0,0.252787,0.252563,31:0.252563;15:0.151825;38:0.098969;19:0.079041;29:0.041382,0.000018,0.000737,0.999999,0.999268,True,164778,82491,82273,0,71,494.8288
63,65,rabbit,38,38,1,0,0.159520,0.159332,38:0.159332;33:0.106445;34:0.042969;89:0.040802;29:0.039276,0.000016,0.001318,1.000000,0.998688,True,164083,82330,81739,0,71,492.7417
64,7,beetle,1,1,1,0,0.184439,0.184265,1:0.184265;45:0.104340;7:0.066223;83:0.050781;62:0.047455,0.000015,0.001072,1.000000,0.998932,True,162637,80878,81745,0,71,488.3994
65,35,girl,98,98,1,0,0.634450,0.634735,98:0.634735;35:0.140869;46:0.063873;11:0.034363;2:0.014862,0.000017,-0.000048,1.000000,1.000061,True,163345,82198,81133,0,71,490.5255
66,43,lion,43,43,1,1,0.968429,0.937469,43:0.937469;15:0.014679;42:0.003387;97:0.003265;19:0.003021,0.000621,0.009828,0.999957,1.000183,True,163914,82058,81842,0,71,492.2342
67,82,sunflower,62,62,1,0,0.431271,0.431274,62:0.431274;82:0.305786;92:0.058289;70:0.012756;54:0.007324,0.000015,0.000679,1.000000,0.999329,True,161218,81370,79834,0,71,484.1381
68,63,porcupine,63,63,1,1,0.937480,0.938354,63:0.938354;66:0.006012;64:0.005798;74:0.004822;4:0.003571,0.000022,-0.000277,1.000000,1.000336,True,165509,82815,82680,0,71,497.0240
69,92,tulip,92,92,1,1,0.736217,0.736877,92:0.736877;54:0.089874;83:0.022705;57:0.016479;70:0.016144,0.000021,0.000236,1.000000,0.999786,True,163247,82301,80932,0,71,490.2312
70,66,raccoon,66,66,1,1,0.683006,0.683289,66:0.683289;8:0.036682;38:0.027039;65:0.026428;50:0.011871,0.000014,0.000006,1.000000,1.000000,True,163796,82076,81706,0,71,491.8799
71,90,train,90,90,1,1,0.556218,0.556274,90:0.556274;89:0.124786;81:0.065857;13:0.037079;68:0.014008,0.000014,0.000220,1.000000,0.999786,True,164160,82088,82058,0,71,492.9730
72,67,ray,22,22,1,0,0.125170,0.125031,22:0.125031;39:0.095642;2:0.049377;61:0.044434;76:0.041077,0.000015,0.001224,1.000000,0.998779,True,165327,82798,82515,0,71,496.4775
73,91,trout,91,91,1,1,0.871470,0.872253,91:0.872253;1:0.015747;51:0.010010;27:0.009705;73:0.007477,0.000020,-0.000021,1.000000,1.000061,True,183439,82728,100697,0,71,550.8679
74,32,flatfish,67,67,1,0,0.474108,0.474121,67:0.474121;32:0.064087;76:0.057831;72:0.035217;49:0.033539,0.000014,0.000772,1.000000,0.999237,True,164299,82412,81873,0,71,493.3904
75,32,flatfish,32,32,1,1,0.917959,0.867493,32:0.867493;46:0.051636;11:0.038849;98:0.005280;2:0.004700,0.001010,0.013081,0.999504,0.999969,True,164405,82961,81430,0,71,493.7087
76,82,sunflower,82,82,1,1,0.899982,0.900970,82:0.900970;89:0.003845;13:0.003723;22:0.003693;62:0.003326,0.000022,-0.000041,1.000000,1.000061,True,163765,82097,81654,0,71,491.7868
77,10,bowl,10,10,1,1,0.521038,0.520844,10:0.520844;16:0.345123;28:0.035980;84:0.016418;61:0.013489,0.000020,0.000145,1.000000,0.999878,True,163939,82444,81481,0,71,492.3093
78,77,snail,77,77,1,1,0.921770,0.917267,77:0.917267;7:0.021545;79:0.007080;18:0.005920;24:0.005585,0.000099,-0.000121,0.999998,1.000336,True,163541,81109,82418,0,71,491.1141
79,22,clock,61,61,1,0,0.650553,0.650665,61:0.650665;10:0.089417;22:0.056274;53:0.026794;0:0.016693,0.000016,0.000070,1.000000,0.999939,True,161406,80739,80653,0,71,484.7027
80,71,sea,71,71,1,1,0.866322,0.867340,71:0.867340;23:0.062897;60:0.016632;49:0.005981;12:0.002563,0.000026,0.000276,1.000000,0.999786,True,181072,97467,83591,0,71,543.7598
81,78,snake,78,78,1,1,0.979908,0.889008,78:0.889008;99:0.030518;44:0.020844;18:0.007568;22:0.005096,0.001817,0.061158,0.999319,0.999939,True,164220,82295,81911,0,71,493.1532
82,54,orchid,54,54,1,1,0.932685,0.933838,54:0.933838;70:0.014221;92:0.006470;79:0.001953;56:0.001465,0.000025,-0.000081,1.000000,1.000122,True,163477,82075,81388,0,71,490.9219
