ID,Label,Label_Name,SW_Pred,SW_Name,HW_Pred,HW_Name,HW_eq_SW,HW_eq_GT,Scale,MAE,KL,Cos,Total_Cyc,P1_Cyc,P2_Cyc,Stall_Cyc,Compute_Cyc,Saturated
0,91,coucal,91,coucal,91,coucal,1,1,0.3570,0.001285,1.034139,0.988643,173568,88664,84890,0,296,0
1,171,Italian greyhound,178,Weimaraner,178,Weimaraner,1,0,0.4784,0.000836,0.523283,0.926195,161837,78841,82982,16,329,0
2,980,volcano,980,volcano,980,volcano,1,1,0.4648,0.001237,0.949304,0.972861,151660,58867,92779,64,360,0
3,218,Welsh springer spaniel,218,Welsh springer spaniel,218,Welsh springer spaniel,1,1,0.3095,0.001162,0.961115,0.894917,137048,57382,79652,16,312,0
4,19,chickadee,19,chickadee,19,chickadee,1,1,0.3825,0.001188,0.905609,0.994645,149567,68260,81293,0,296,0
5,658,mitten,904,window screen,904,window screen,1,0,0.5928,0.000804,0.446570,0.938931,139094,58762,80318,80,376,0
6,549,envelope,591,handkerchief,591,handkerchief,1,0,0.4579,0.000958,0.679957,0.905852,134782,54632,80136,64,360,0
7,808,sombrero,808,sombrero,808,sombrero,1,1,0.3718,0.001287,1.036477,0.984350,142042,61353,80675,80,376,0
8,305,dung beetle,805,soccer ball,805,soccer ball,1,0,0.5572,0.000962,0.646536,0.940820,155080,72913,82153,32,328,0
9,416,balance beam,416,balance beam,416,balance beam,1,1,0.3945,0.001158,0.841952,0.955558,136173,56191,79968,16,312,0
10,89,sulphur-crested cockatoo,89,sulphur-crested cockatoo,89,sulphur-crested cockatoo,1,1,0.2658,0.001121,0.830676,0.996619,135804,55211,80579,0,296,0
11,793,shower cap,793,shower cap,793,shower cap,1,1,0.2562,0.001217,0.953746,0.991376,142170,61551,80605,64,360,0
12,712,Petri dish,712,Petri dish,712,Petri dish,1,1,0.5980,0.000751,0.388249,0.957473,133409,53724,79671,48,344,0
13,505,coffeepot,505,coffeepot,505,coffeepot,1,1,0.3039,0.001149,0.903110,0.912374,134744,54989,79741,16,312,0
14,332,Angora,332,Angora,332,Angora,1,1,0.5893,0.000896,0.577303,0.928484,144573,62776,81783,32,328,0
15,575,golfcart,654,minibus,654,minibus,1,0,0.5907,0.000681,0.362804,0.938364,138586,58113,80459,48,344,0
16,986,yellow lady's slipper,986,yellow lady's slipper,986,yellow lady's slipper,1,1,0.3200,0.001208,0.942594,0.995907,158304,76010,82280,16,312,0
17,867,trailer truck,867,trailer truck,867,trailer truck,1,1,0.4392,0.001185,0.956672,0.894459,138193,57460,80719,64,360,0
18,116,chiton,921,book jacket,921,book jacket,1,0,1.0000,0.000015,0.062466,0.999995,143107,61930,81163,32,328,0
19,817,sports car,817,sports car,817,sports car,1,1,0.4895,0.000867,0.600931,0.921075,137805,57286,80505,32,328,0
20,642,marimba,642,marimba,642,marimba,1,1,0.8652,0.000187,0.059355,0.988930,141026,60580,80432,48,344,0
21,327,starfish,327,starfish,327,starfish,1,1,0.3569,0.001283,1.034127,0.988803,148097,62222,85861,16,312,0
22,995,earthstar,995,earthstar,995,earthstar,1,1,0.3022,0.001196,0.927683,0.991874,137402,57274,80114,32,328,0
23,87,African grey,87,African grey,87,African grey,1,1,0.3220,0.001129,0.840528,0.997911,142182,57883,84285,0,296,0
24,965,burrito,965,burrito,965,burrito,1,1,0.2979,0.001288,1.047128,0.987701,157850,75890,81946,16,312,0
25,267,standard poodle,221,Irish water spaniel,221,Irish water spaniel,1,0,0.3903,0.000996,0.723378,0.922917,152152,70441,81697,16,312,0
26,977,sandbar,977,sandbar,977,sandbar,1,1,0.5298,0.000900,0.572080,0.977592,135382,55532,79836,48,344,0
27,989,hip,989,hip,989,hip,1,1,0.3972,0.001304,1.057330,0.981387,135198,55597,79587,32,328,0
28,120,fiddler crab,123,spiny lobster,123,spiny lobster,1,0,0.3095,0.001029,0.693404,0.916876,145601,64133,81454,0,296,0
29,800,slot,865,toyshop,865,toyshop,1,0,0.7628,0.000413,0.141760,0.980017,174686,87961,86711,64,360,0
30,905,window shade,905,window shade,905,window shade,1,1,0.5276,0.001168,0.895482,0.947945,141576,62208,79354,80,376,0
31,124,crayfish,124,crayfish,124,crayfish,1,1,0.2936,0.001092,0.864618,0.817337,136194,56931,79249,0,296,0
32,541,drum,541,drum,541,drum,1,1,0.4358,0.001326,1.080947,0.973288,140566,61442,79110,32,328,0
33,661,Model T,661,Model T,661,Model T,1,1,0.3947,0.001158,0.878487,0.997267,149582,69698,79870,64,360,0
34,112,conch,112,conch,112,conch,1,1,0.5133,0.001124,0.777144,0.965925,135634,56143,79477,0,296,0
35,531,digital watch,826,stopwatch,826,stopwatch,1,0,0.5828,0.000989,0.648580,0.942472,138358,59334,79010,48,344,0
36,251,dalmatian,251,dalmatian,251,dalmatian,1,1,0.4558,0.001316,1.058535,0.987567,135918,57123,78781,16,312,0
37,495,china cabinet,495,china cabinet,495,china cabinet,1,1,0.3719,0.001318,1.082059,0.953863,308907,226182,82711,32,328,0
38,313,walking stick,313,walking stick,313,walking stick,1,1,0.5285,0.001191,0.896232,0.963732,138917,59749,79154,16,312,0
39,784,screwdriver,784,screwdriver,784,screwdriver,1,1,0.6161,0.000837,0.477832,0.949053,140271,61206,79051,64,360,0
40,261,keeshond,261,keeshond,261,keeshond,1,1,0.3180,0.001273,1.020161,0.984986,138039,58812,79213,32,328,0
41,973,coral reef,973,coral reef,973,coral reef,1,1,0.4069,0.001123,0.891037,0.866336,145003,64939,80050,16,312,0
42,725,pitcher,901,whiskey jug,901,whiskey jug,1,0,0.4241,0.001182,0.921422,0.928013,158987,77229,81744,48,344,0
43,535,disk brake,535,disk brake,535,disk brake,1,1,0.3202,0.001213,0.946762,0.994856,141243,61821,79408,64,360,0
44,691,oxygen mask,570,gasmask,570,gasmask,1,0,0.6217,0.000827,0.464727,0.950940,134263,55561,78688,32,328,0
45,70,harvestman,70,harvestman,70,harvestman,1,1,0.2851,0.001255,0.996453,0.985987,132069,53935,78120,0,296,0
46,269,timber wolf,269,timber wolf,269,timber wolf,1,1,0.3671,0.001300,1.045119,0.920680,140618,61038,79566,32,328,0
47,438,beaker,813,spatula,813,spatula,1,0,0.5498,0.000824,0.463394,0.940473,132429,53269,79146,64,360,0
48,558,flute,558,flute,558,flute,1,1,0.3225,0.001318,1.090246,0.983230,132971,54452,78505,48,344,0
49,830,stretcher,879,umbrella,879,umbrella,1,0,0.7830,0.000425,0.142164,0.979578,140932,61624,79294,48,344,0
50,569,garbage truck,569,garbage truck,569,garbage truck,1,1,0.4182,0.001266,0.986441,0.937614,150272,69627,80631,64,360,0
51,129,spoonbill,129,spoonbill,129,spoonbill,1,1,0.2841,0.001285,1.031498,0.966992,133334,54521,78799,16,312,0
52,46,green lizard,46,green lizard,46,green lizard,1,1,0.5225,0.001026,0.677270,0.965207,131521,52219,79288,0,296,0
53,60,night snake,56,king snake,56,king snake,1,0,0.3051,0.001301,1.096528,0.858731,145984,65122,80848,0,296,0
54,766,rotisserie,766,rotisserie,766,rotisserie,1,1,0.3627,0.001361,1.146664,0.979746,134970,56614,78342,48,344,0
55,191,Airedale,191,Airedale,191,Airedale,1,1,0.4078,0.001095,0.787234,0.927808,138081,59057,79010,16,312,0
56,553,file,553,file,553,file,1,1,0.3695,0.001448,1.283366,0.951912,137353,58593,78746,64,360,0
57,586,half track,586,half track,586,half track,1,1,0.2783,0.001233,0.970206,0.984591,138888,59456,79418,32,328,0
58,119,rock crab,982,groom,982,groom,1,0,0.6890,0.000496,0.199940,0.974820,156074,74444,81616,16,312,0
59,422,barbell,830,stretcher,830,stretcher,1,0,0.9678,0.000042,0.052616,0.999617,138900,59566,79320,48,344,0
60,334,porcupine,334,porcupine,334,porcupine,1,1,0.3013,0.001336,1.106219,0.968240,139342,60438,78890,16,312,0
61,13,junco,13,junco,13,junco,1,1,0.3466,0.001329,1.077728,0.958897,132993,53013,79966,0,296,0
62,542,drumstick,542,drumstick,542,drumstick,1,1,0.2559,0.001235,0.974348,0.991464,136118,56216,79888,32,328,0
63,190,Sealyham terrier,190,Sealyham terrier,190,Sealyham terrier,1,1,0.3550,0.000889,0.582780,0.920253,142154,61923,80217,16,312,0
64,290,jaguar,290,jaguar,290,jaguar,1,1,0.5356,0.001190,0.878147,0.985105,136047,57188,78845,32,328,0
65,495,china cabinet,495,china cabinet,495,china cabinet,1,1,0.4253,0.001385,1.176970,0.961476,130614,52164,78436,48,344,0
66,826,stopwatch,531,digital watch,531,digital watch,1,0,0.3664,0.001051,0.712751,0.951025,130672,52247,78411,48,344,0
67,556,fire screen,905,window shade,905,window shade,1,0,0.4732,0.001177,0.940616,0.930390,152376,71738,80624,48,344,0
68,664,monitor,664,monitor,664,monitor,1,1,0.4148,0.000972,0.656277,0.927527,169431,85288,84129,48,344,0
69,584,hair slide,451,bolo tie,451,bolo tie,1,0,0.3976,0.001144,0.917198,0.920219,159427,78395,81018,16,312,0
70,521,Crock Pot,521,Crock Pot,521,Crock Pot,1,1,0.4347,0.001075,0.853451,0.900889,138974,58605,80355,32,328,0
71,828,strainer,828,strainer,828,strainer,1,1,0.6378,0.000534,0.253106,0.923462,142634,62736,79884,32,328,0
72,593,harmonica,593,harmonica,593,harmonica,1,1,0.3132,0.001294,1.055451,0.990610,136827,58121,78692,48,344,0
73,373,macaque,380,titi,380,titi,1,0,0.5434,0.000663,0.346638,0.956288,135955,52975,82966,16,318,0
74,46,green lizard,39,common iguana,39,common iguana,1,0,0.3481,0.000980,0.645898,0.948777,145274,65599,79661,0,296,0
75,409,analog clock,892,wall clock,892,wall clock,1,0,0.4303,0.001059,0.747312,0.987513,147895,67769,80112,32,328,0
76,692,packet,692,packet,692,packet,1,1,0.3713,0.001453,1.300515,0.968975,136260,57511,78735,32,328,0
77,332,Angora,332,Angora,332,Angora,1,1,0.3910,0.001389,1.182271,0.975997,136199,57496,78689,32,328,0
78,825,stone wall,825,stone wall,825,stone wall,1,1,0.6948,0.000603,0.278600,0.952163,141953,61754,80185,32,328,0
79,990,buckeye,990,buckeye,990,buckeye,1,1,0.2739,0.001259,1.010640,0.991748,136403,57432,78957,32,328,0
80,718,pier,718,pier,718,pier,1,1,0.3043,0.001034,0.788930,0.935833,135717,57039,78664,48,344,0
81,717,pickup,717,pickup,717,pickup,1,1,0.3276,0.001372,1.152629,0.934398,139861,60811,79036,48,344,0
82,195,Boston bull,195,Boston bull,195,Boston bull,1,1,0.5536,0.001119,0.835756,0.941551,137126,58238,78874,16,312,0
83,340,zebra,340,zebra,340,zebra,1,1,0.3631,0.001364,1.144261,0.975442,147153,66619,80520,16,312,0
84,627,limousine,627,limousine,627,limousine,1,1,0.3873,0.001180,0.897175,0.992268,136329,58745,77570,64,360,0
85,138,bustard,138,bustard,138,bustard,1,1,0.3042,0.001242,0.977490,0.989645,133718,56689,77015,16,312,0
86,835,sundial,835,sundial,835,sundial,1,1,0.4771,0.001064,0.741149,0.930823,134483,56307,78162,48,344,0
87,743,prison,743,prison,743,prison,1,1,0.4597,0.001361,1.122257,0.979691,133729,56384,77331,48,344,0
88,623,letter opener,499,cleaver,499,cleaver,1,0,0.4335,0.001226,1.022899,0.897123,144399,66128,78257,32,328,0
89,998,ear,998,ear,998,ear,1,1,0.5410,0.001031,0.670618,0.959252,130117,53470,76633,64,360,0
90,322,ringlet,322,ringlet,322,ringlet,1,1,0.2374,0.001166,0.884927,0.987900,130704,53649,77041,32,328,0
91,564,four-poster,564,four-poster,564,four-poster,1,1,0.4053,0.001278,1.070604,0.913441,138029,60379,77636,48,344,0
92,570,gasmask,570,gasmask,570,gasmask,1,1,0.3105,0.001286,1.020742,0.938532,154501,74685,79802,64,360,0
93,905,window shade,905,window shade,905,window shade,1,1,0.5134,0.001126,0.871004,0.922250,131221,54117,77090,64,360,0
94,875,trombone,875,trombone,875,trombone,1,1,0.4343,0.001098,0.848574,0.900423,128564,51939,76611,48,344,0
95,415,bakery,964,potpie,964,potpie,1,0,0.5237,0.000974,0.627674,0.923825,139342,62161,77167,32,328,0
96,764,rifle,764,rifle,764,rifle,1,1,0.6988,0.000424,0.159006,0.962150,128581,51761,76806,48,344,0
97,811,space heater,811,space heater,811,space heater,1,1,0.4664,0.001325,1.063211,0.979919,134240,55372,78854,48,344,0
98,730,plow,866,tractor,866,tractor,1,0,0.5356,0.000846,0.505836,0.955237,133313,56481,76818,80,376,0
99,238,Greater Swiss Mountain dog,238,Greater Swiss Mountain dog,238,Greater Swiss Mountain dog,1,1,0.3420,0.000876,0.590553,0.948486,137215,58620,78581,16,312,0
100,943,cucumber,943,cucumber,943,cucumber,1,1,0.4525,0.001361,1.158740,0.953887,144982,65564,79404,96,392,0
101,83,prairie chicken,83,prairie chicken,83,prairie chicken,1,1,0.4080,0.001332,1.083000,0.975098,132861,54583,78264,0,296,0
102,995,earthstar,995,earthstar,995,earthstar,1,1,0.2914,0.001252,1.000770,0.990554,141612,63986,77612,64,360,0
103,226,briard,226,briard,226,briard,1,1,0.4683,0.001262,1.038703,0.919485,130704,52443,78247,16,312,0
104,806,sock,806,sock,806,sock,1,1,0.3436,0.001316,1.090679,0.989390,128423,52436,75973,48,344,0
105,356,weasel,356,weasel,356,weasel,1,1,0.3969,0.001331,1.080968,0.952582,134952,57897,77041,32,328,0
106,40,American chameleon,40,American chameleon,40,American chameleon,1,1,0.3917,0.001220,0.931748,0.926416,140786,61773,78999,0,296,0
107,543,dumbbell,422,barbell,422,barbell,1,0,0.3553,0.001254,1.012550,0.944219,133432,56399,77019,16,312,0
108,993,gyromitra,993,gyromitra,993,gyromitra,1,1,0.3889,0.001369,1.154255,0.971746,137499,60041,77444,16,312,0
109,575,golfcart,575,golfcart,575,golfcart,1,1,0.2713,0.001122,0.836209,0.997189,147835,68951,78870,48,344,0
110,828,strainer,828,strainer,828,strainer,1,1,0.3680,0.001347,1.125555,0.979126,134132,56905,77213,64,360,0
111,883,vase,748,purse,748,purse,1,0,0.5311,0.001080,0.817551,0.931226,130285,53949,76322,48,344,0
112,633,loupe,664,monitor,664,monitor,1,0,0.9314,0.000099,0.060803,0.998815,160117,56958,103145,64,360,0
113,921,book jacket,917,comic book,917,comic book,1,0,0.4765,0.001002,0.682102,0.988235,132775,55975,76786,64,360,0
114,515,cowboy hat,118,Dungeness crab,118,Dungeness crab,1,0,0.9081,0.000144,0.053596,0.997441,131727,55258,76455,0,296,0
115,970,alp,979,valley,979,valley,1,0,0.5341,0.000928,0.607927,0.931387,129978,52955,77009,80,376,0
116,568,fur coat,568,fur coat,568,fur coat,1,1,0.6769,0.000784,0.416912,0.966965,136679,59576,77089,32,328,0
117,597,holster,465,bulletproof vest,465,bulletproof vest,1,0,0.7752,0.000386,0.136033,0.970208,145459,66917,78528,16,312,0
118,98,red-breasted merganser,98,red-breasted merganser,98,red-breasted merganser,1,1,0.4096,0.001384,1.162525,0.966883,137068,59775,77279,0,296,0
119,62,rock python,62,rock python,62,rock python,1,1,0.4402,0.001131,0.873721,0.890645,132616,56232,76370,0,296,0
120,910,wooden spoon,910,wooden spoon,910,wooden spoon,1,1,0.2092,0.001246,0.992617,0.989001,135457,58651,76792,48,344,0
121,814,speedboat,814,speedboat,814,speedboat,1,1,0.3917,0.001161,0.956533,0.885837,128742,52360,76368,64,360,0
122,988,acorn,988,acorn,988,acorn,1,1,0.4005,0.001291,1.036477,0.977821,139462,61141,78307,16,312,0
123,155,Shih-Tzu,155,Shih-Tzu,155,Shih-Tzu,1,1,0.3038,0.001278,1.010733,0.956133,134414,57884,76516,16,312,0
124,614,kimono,614,kimono,614,kimono,1,1,0.3239,0.001260,1.007763,0.991902,135367,58770,76583,32,328,0
125,561,forklift,561,forklift,561,forklift,1,1,0.4477,0.001292,1.032535,0.990891,158714,78559,80141,64,360,0
126,231,collie,232,Border collie,232,Border collie,1,0,0.5240,0.000976,0.621251,0.976768,146959,68601,78344,16,312,0
127,215,Brittany spaniel,215,Brittany spaniel,215,Brittany spaniel,1,1,0.4583,0.000903,0.639256,0.881814,132184,55469,76701,16,312,0
128,966,red wine,907,wine bottle,907,wine bottle,1,0,0.4293,0.001370,1.212496,0.950098,134751,53498,81239,32,328,0
129,311,grasshopper,312,cricket,312,cricket,1,0,0.4507,0.001045,0.707508,0.960750,130685,54004,76667,16,312,0
130,326,lycaenid,326,lycaenid,326,lycaenid,1,1,0.3338,0.001346,1.106958,0.949130,134996,58523,76459,16,312,0
131,55,green snake,59,vine snake,59,vine snake,1,0,0.4911,0.001031,0.707907,0.957922,132918,55948,76956,0,296,0
132,943,cucumber,943,cucumber,943,cucumber,1,1,0.4325,0.001225,1.045214,0.886883,135175,57753,77408,48,344,0
133,364,three-toed sloth,364,three-toed sloth,364,three-toed sloth,1,1,0.3036,0.001250,0.991464,0.987496,162996,84031,78951,16,312,0
134,988,acorn,988,acorn,988,acorn,1,1,0.4525,0.001140,0.892235,0.905358,152650,73864,78772,48,344,0
135,187,Yorkshire terrier,153,Maltese dog,153,Maltese dog,1,0,0.4028,0.001194,0.963045,0.889695,149213,71251,77948,16,312,0
136,571,gas pump,571,gas pump,571,gas pump,1,1,0.5108,0.001246,1.046416,0.934271,131099,54202,76883,48,344,0
137,575,golfcart,656,minivan,656,minivan,1,0,0.6378,0.000787,0.428764,0.965340,138366,61072,77280,80,376,0
138,671,mountain bike,671,mountain bike,671,mountain bike,1,1,0.4228,0.001346,1.110239,0.976989,134574,57717,76843,80,376,0
139,70,harvestman,70,harvestman,70,harvestman,1,1,0.4433,0.001041,0.798717,0.904693,132872,56550,76308,0,296,0
140,110,flatworm,110,flatworm,110,flatworm,1,1,0.2524,0.001288,1.041063,0.904650,138645,61758,76873,0,296,0
141,808,sombrero,808,sombrero,808,sombrero,1,1,0.3255,0.001176,0.973227,0.930960,135633,58644,76975,48,344,0
142,490,chain mail,490,chain mail,490,chain mail,1,1,0.4849,0.001248,0.957478,0.989626,146914,67959,78941,16,312,0
143,798,slide rule,798,slide rule,798,slide rule,1,1,0.3699,0.001329,1.100263,0.985187,150537,71969,78554,48,344,0
144,961,dough,415,bakery,415,bakery,1,0,0.4466,0.001019,0.700722,0.931726,138454,61202,77238,16,312,0
145,266,miniature poodle,256,Newfoundland,256,Newfoundland,1,0,0.5526,0.000721,0.420263,0.962457,132388,55554,76820,32,328,0
146,184,Irish terrier,184,Irish terrier,184,Irish terrier,1,1,0.4034,0.001393,1.204125,0.920309,132008,51593,80401,16,312,0
147,419,Band Aid,655,miniskirt,655,miniskirt,1,0,0.7690,0.000379,0.124781,0.986857,140505,62591,77900,64,360,0
148,725,pitcher,725,pitcher,725,pitcher,1,1,0.4273,0.001194,0.977897,0.917162,131397,55018,76365,48,344,0
149,63,Indian cobra,60,night snake,60,night snake,1,0,0.3607,0.000861,0.530312,0.906496,131107,54485,76608,0,296,0
