ID,Label,SW_Pred,HW_Pred,HW_eq_SW,HW_eq_GT,SW_Conf,HW_Conf,MAE,KL,Cos,HW_Sum,Valid,Total_Cyc,P1_Cyc,P2_Cyc,Stall_Cyc,Compute_Cyc,IP_us
0,7,7,7,1,1,0.933746,0.933807,0.000017,-0.000030,1.000000,1.000031,True,168481,84615,83852,0,71,505.9489
1,2,2,2,1,1,0.986825,0.986938,0.000022,0.000016,1.000000,1.000031,True,161821,80725,81082,0,71,485.9489
2,1,1,1,1,1,0.748703,0.748383,0.000072,0.000000,1.000000,1.000000,True,179216,90944,88258,0,71,538.1862
3,0,0,0,1,1,0.954445,0.954498,0.000018,0.000031,1.000000,0.999969,True,163244,81181,82049,0,71,490.2222
4,4,4,4,1,1,0.858238,0.858215,0.000029,0.000032,1.000000,0.999969,True,272815,187623,85178,0,71,819.2643
5,1,1,1,1,1,0.930827,0.930939,0.000025,0.000031,1.000000,0.999969,True,162088,80017,82057,0,71,486.7508
6,4,4,4,1,1,0.498998,0.498840,0.000064,0.000123,1.000000,0.999878,True,162613,79592,83007,0,71,488.3273
7,9,9,9,1,1,0.938031,0.938080,0.000014,0.000031,1.000000,0.999969,True,172681,83035,89632,0,71,518.5616
8,5,5,5,1,1,0.921363,0.921387,0.000021,-0.000060,1.000000,1.000061,True,162593,80882,81697,0,71,488.2673
9,9,9,9,1,1,0.922300,0.922363,0.000018,-0.000030,1.000000,1.000031,True,161497,79385,82098,0,71,484.9760
10,0,0,0,1,1,0.979140,0.979279,0.000026,-0.000029,1.000000,1.000031,True,161065,78754,82297,0,71,483.6787
11,6,6,6,1,1,0.958820,0.958923,0.000028,0.000035,1.000000,0.999969,True,162365,80208,82143,0,71,487.5826
12,9,9,9,1,1,0.947264,0.947357,0.000021,-0.000030,1.000000,1.000031,True,175076,91324,83738,0,71,525.7538
13,0,0,0,1,1,0.967546,0.967590,0.000013,-0.000030,1.000000,1.000031,True,161113,79509,81590,0,71,483.8228
14,1,1,1,1,1,0.976343,0.976440,0.000018,-0.000029,1.000000,1.000031,True,163986,81263,82709,0,71,492.4505
15,5,5,5,1,1,0.953441,0.953491,0.000021,-0.000025,1.000000,1.000031,True,160846,78972,81860,0,71,483.0210
16,9,9,9,1,1,0.930418,0.930389,0.000016,0.000031,1.000000,0.999969,True,161532,79365,82153,0,71,485.0811
17,7,7,7,1,1,0.984179,0.984283,0.000031,0.000313,1.000000,0.999939,True,160767,78879,81874,0,71,482.7838
18,3,3,3,1,1,0.409030,0.408295,0.000157,0.001527,1.000000,0.998474,True,162082,79394,82674,0,71,486.7327
19,4,4,4,1,1,0.917306,0.917328,0.000018,-0.000061,1.000000,1.000061,True,163208,81261,81933,0,71,490.1141
20,9,9,9,1,1,0.895045,0.894989,0.000027,-0.000030,1.000000,1.000031,True,162185,80424,81747,0,71,487.0420
21,6,6,6,1,1,0.904426,0.904419,0.000027,0.000033,1.000000,0.999969,True,162554,80394,82146,0,71,488.1502
22,6,6,6,1,1,0.899777,0.899719,0.000025,0.000001,1.000000,1.000000,True,162319,80170,82135,0,71,487.4444
23,5,5,5,1,1,0.994325,0.994476,0.000026,0.000064,1.000000,1.000061,True,175924,79331,96579,0,71,528.3003
24,4,4,4,1,1,0.702468,0.702271,0.000040,0.000000,1.000000,1.000000,True,161853,79152,82687,0,71,486.0450
25,0,0,0,1,1,0.931441,0.931458,0.000015,-0.000030,1.000000,1.000031,True,225146,141331,83801,0,71,676.1141
26,7,7,7,1,1,0.920636,0.920685,0.000013,-0.000061,1.000000,1.000061,True,162338,79705,82619,0,71,487.5015
27,4,4,4,1,1,0.975648,0.975800,0.000027,-0.000029,1.000000,1.000031,True,161980,80102,81864,0,71,486.4264
28,0,0,0,1,1,0.971416,0.971497,0.000023,0.000061,1.000000,0.999939,True,162548,78911,83623,0,71,488.1321
29,1,1,1,1,1,0.894207,0.894165,0.000020,0.000001,1.000000,1.000000,True,159655,78765,80876,0,71,479.4444
30,3,3,3,1,1,0.971057,0.971130,0.000018,0.000034,1.000000,0.999969,True,160255,79194,81047,0,71,481.2462
31,1,1,1,1,1,0.862792,0.862671,0.000037,0.000001,1.000000,1.000000,True,161237,80917,80306,0,71,484.1952
32,3,3,3,1,1,0.977475,0.977600,0.000021,0.000148,1.000000,1.000092,True,161235,80191,81030,0,71,484.1892
